Compound,Number of Elements,Elements+Coeff,At no._sum,At no._wt_avg,At no._maximum,At no._minimum,At wt._sum,At wt._wt_avg,At wt._maximum,At wt._minimum,At Rad_sum,At Rad_wt_avg,At Rad_maximum,At Rad_minimum,Cov Rad_sum,Cov Rad_wt_avg,Cov Rad_maximum,Cov Rad_minimum,Ion Rad_sum,Ion Rad_wt_avg,Ion Rad_maximum,Ion Rad_minimum,No of val e-_sum,No of val e-_wt_avg,No of val e-_maximum,No of val e-_minimum,s e-_sum,s e-_wt_avg,s e-_maximum,s e-_minimum,p e-_sum,p e-_wt_avg,p e-_maximum,p e-_minimum,d e-_sum,d e-_wt_avg,d e-_maximum,d e-_minimum,outer shell e-_sum,outer shell e-_wt_avg,outer shell e-_maximum,outer shell e-_minimum,first IE_sum,first IE_wt_avg,first IE_maximum,first IE_minimum,polarizability_sum,polarizability_wt_avg,polarizability_maximum,polarizability_minimum,MP_sum,MP_wt_avg,MP_maximum,MP_minimum,BP_sum,BP_wt_avg,BP_maximum,BP_minimum,density_sum,density_wt_avg,density_maximum,density_minimum,specific heat_sum,specific heat_wt_avg,specific heat_maximum,specific heat_minimum,heat fusion_sum,heat fusion_wt_avg,heat fusion_maximum,heat fusion_minimum,heat vap_sum,heat vap_wt_avg,heat vap_maximum,heat vap_minimum,ther cond_sum,ther cond_wt_avg,ther cond_maximum,ther cond_minimum,Eg (eV)
Ag3AsS3,3,"[['Ag', '3'], ['As', 1], ['S', '3']]",96,31.71428571,47,16,214.85579,70.67488429,107.8682,32.066,366,124.2857143,165,87,369,124.1428571,145,105,2.21,0.781428571,1.26,0.37,12,3.714285714,6,1,23,7.571428571,9,6,43,14.14285714,18,10,30,10,20,0,12,3.714285714,6,1,2677.58,876.9628571,999.58,731,100.6,34.82857143,52,19.6,1623.44,695.76,1235.08,0,4039.824,1478.496,2437,717.824,18.177,6.155857143,10.5,1.957,1268,449.7142857,705,235,40.76,9.548571429,27.72,1.73,296.44,117.7742857,254.19,9.8,480.205,191.5164286,430,0.205,1.98
Ge0.838Si0.162,2,"[['Ge', '0.838'], ['Si', '0.162']]",46,29.084,32,14,100.6955,65.397031,72.61,28.0855,236,122.732,125,111,231,118.542,120,111,0.93,0.50894,0.53,0.4,8,4,4,4,14,7.676,8,6,22,13.028,14,8,10,8.38,10,0,8,4,4,4,1548.5,766.0366,786.4,762.1,78,40.352,41,37,2898,1289.464,1685,1213,6078,3097.136,3125,2953,7.653,4.838134,5.323,2.33,1031,384.018,710,321,82.03,34.80594,50.2,31.83,693,338.05,359,334,210,74.58,150,60,1.32
DyPO4,3,"[['Dy', 1], ['P', 1], ['O', '4']]",89,18.83333333,66,8,209.473162,42.91189367,162.5,15.9994,374,86.33333333,228,48,365,93.83333333,192,66,2.692,1.148666667,1.4,0.38,10,2.666666667,5,2,22,5.666666667,12,4,37,8.166666667,24,4,20,3.333333333,20,0,13,5.166666667,6,2,2897.6,1139.883333,1313.9,572,195.6,35.6,165,6,2144.61,384.615,1773,54.36,3516.338,631.1503333,2873,90.188,10.365331,1.728220667,8.536,0.001331,1855,768.6666667,919,167,11.96,2.103333333,11.1,0.22,296.38,51.10166667,280.57,3.41,11.26258,1.890386667,11,0.02658,6.38
HoIn3S6,3,"[['Ho', 1], ['In', '3'], ['S', '6']]",132,31,67,16,311.81432,70.178032,164.93032,32.066,469,121.6,226,87,439,124.8,192,105,2.071,0.5521,0.901,0.37,12,4.8,6,3,28,7.8,12,6,53,14.1,24,10,40,8,20,0,11,4.7,6,2,2138.88,825.338,999.58,558.3,243.6,47.16,159,19.6,2552.14,535.35,1734,388.36,5933.824,1420.8944,2873,717.824,18.04,4.2385,8.803,1.957,1103,509.4,705,165,22,3.719,17,1.73,499.67,99.841,265,9.8,98.205,26.323,82,0.205,1.23
Ag2S,2,"[['Ag', '2'], ['S', 1]]",63,36.66666667,47,16,139.9342,82.6008,107.8682,32.066,252,139,165,87,250,131.6666667,145,105,1.63,0.963333333,1.26,0.37,7,2.666666667,6,1,15,8,9,6,28,15.33333333,18,10,20,13.33333333,20,0,7,2.666666667,6,1,1730.58,820.5266667,999.58,731,71.6,41.2,52,19.6,1623.44,952.84,1235.08,388.36,3154.824,1863.941333,2437,717.824,12.457,7.652333333,10.5,1.957,940,391.6666667,705,235,13.04,8.116666667,11.31,1.73,263.99,172.7266667,254.19,9.8,430.205,286.735,430,0.205,1.23
PbTe,2,"[['Pb', 1], ['Te', 1]]",134,67,82,52,334.8,167.4,207.2,127.6,277,138.5,154,123,284,142,146,138,2.16,1.08,1.19,0.97,10,5,6,4,22,11,12,10,48,24,26,22,50,25,30,20,10,5,6,4,1723.9,861.95,1008.4,715.5,87,43.5,50,37,987.45,493.725,600.65,386.8,2481.39,1240.695,2024,457.39,16,8,11.34,4.66,328,164,201,127,22.27,11.135,17.5,4.77,224.72,112.36,176.72,48,38,19,35,3,0.36
Hg0.99Cd0.01Se,3,"[['Hg', '0.99'], ['Cd', '0.01'], ['Se', 1]]",162,56.84,80,34,391.961,139.334105,200.59,78.96,435,136.95,171,103,396,126.06,144,120,2.49,0.75975,1.02,0.5,10,4,6,2,30,9.99,12,8,58,19.97,24,16,60,19.95,30,10,10,4,6,2,2815.6,973.2535,1007,867.7,106,30.06,46,26,1318.55,363.94485,594.26,234.29,2627.81,795.95595,1040,629.81,26.567,8.987485,13.545,4.48,690,230.455,321,139,13.86,3.8938,6.11,2.35,185.28,42.8044,100.08,26,104.82,4.8485,96,0.52,1.72
PbTe0.99Se0.01,3,"[['Pb', 1], ['Te', '0.99'], ['Se', '0.01']]",168,66.91,82,34,413.76,167.1568,207.2,78.96,380,138.4,154,103,404,141.91,146,120,2.66,1.07765,1.19,0.5,16,5,6,4,30,10.99,12,8,64,23.97,26,16,60,24.95,30,10,16,5,6,4,2664.8,861.6125,1008.4,715.5,113,43.445,50,26,1477.45,494.241,600.65,386.8,3439.39,1243.19805,2024,457.39,20.48,7.9991,11.34,4.48,649,164.6,321,127,27.67,11.0745,17.5,4.77,250.72,112.25,176.72,26,38.52,18.9876,35,0.52,0.3
GaBi,2,"[['Ga', 1], ['Bi', 1]]",114,57,83,31,278.70337,139.351685,208.98037,69.723,279,139.5,143,136,270,135,148,122,1.65,0.825,1.03,0.62,8,4,5,3,20,10,12,8,40,20,27,13,40,20,30,10,8,4,5,3,1282.1,641.05,703.3,578.8,104,52,54,50,847.52,423.76,544.59,302.93,4105,2052.5,2253,1852,15.703,7.8515,9.8,5.903,493,246.5,371,122,16.5,8.25,10.89,5.61,416,208,256,160,37,18.5,29,8,0.1
PrTe2,2,"[['Pr', 1], ['Te', '2']]",111,54.33333333,59,52,268.50765,132.0358833,140.90765,127.6,370,164.3333333,247,123,341,159.6666667,203,138,1.983,0.984333333,1.013,0.97,10,5.333333333,6,4,22,10.66666667,12,10,46,22.66666667,24,22,40,20,20,20,8,4.666666667,6,2,1531.4,846.6,1008.4,523,227,88,190,37,1578.8,655.2,1192,386.8,3860.39,1439.26,3403,457.39,11.442,5.367333333,6.782,4.66,394,198.3333333,201,193,24.4,13.96666667,17.5,6.9,378.82,142.2733333,330.82,48,16,6.333333333,13,3,1.29
CsInGeSe4,4,"[['Cs', 1], ['In', 1], ['Ge', 1], ['Se', '4']]",170,38.85714286,55,32,399.29343,90.88191857,132.90543,72.61,682,141.5714286,298,103,626,140.8571429,244,120,3.5,0.714285714,1.67,0.5,14,4.571428571,6,1,37,8.714285714,11,8,73,17.28571429,24,14,60,12.85714286,20,10,14,4.571428571,6,1,2637,779.9571429,940.9,375.7,531,87,399,26,2434.78,557.8257143,1213,302,7377.7,1464.528571,3125,951.7,18.9615,4.628785714,7.28,1.8785,1117,297.1428571,321,233,42.59,8.398571429,31.83,2.09,648.87,103.8385714,334,26,178.52,25.72571429,82,0.52,2.32
ZnSe,2,"[['Zn', 1], ['Se', 1]]",64,32,34,30,144.35,72.175,78.96,65.39,245,122.5,142,103,242,121,122,120,1.24,0.62,0.74,0.5,8,4,6,2,16,8,8,8,28,14,16,12,20,10,10,10,8,4,6,2,1847.3,923.65,940.9,906.4,65,32.5,39,26,1182.8,591.4,692.8,490,2142,1071,1184,958,11.58,5.79,7.1,4.48,709,354.5,388,321,12.77,6.385,7.37,5.4,145,72.5,119,26,120.52,60.26,120,0.52,2.82
RbNb4Br11,3,"[['Rb', 1], ['Nb', '4'], ['Br', '11']]",113,36.625,41,35,258.27818,83.5023325,92.90638,79.904,557,130.6875,265,94,504,137.25,220,120,4.17,1.615,1.96,0.69,11,4.75,5,1,26,8.3125,9,8,53,17.3125,18,17,34,11,14,10,9,5.125,7,1,2206.9,974.86875,1139.9,403,445.9,61.43125,318,21.9,3327.9,889.80625,2750,265.9,6434.91,1572.625625,5136,331.91,13.2028,4.3713,8.57,1.53,1576,740.0625,947,265,34.79,10.824375,26.8,2.19,775.99,187.243125,690,14.99,112.12,17.2075,58,0.12,0.46
CuP2,2,"[['Cu', 1], ['P', '2']]",44,19.66666667,29,15,94.519762,41.83117467,63.546,30.973762,243,113.6666667,145,98,239,115.3333333,132,107,1.11,0.496666667,0.73,0.38,7,4,5,2,13,6.333333333,7,6,21,10,12,9,10,3.333333333,10,0,6,3.666666667,5,1,1757.1,922.9333333,1011.7,745.4,77.6,34.06666667,53,24.6,1674.95,664.0666667,1357.7,317.25,3408.15,1320.433333,2855,553.15,10.748,4.192,8.92,1.828,1153,640.6666667,769,384,13.66,4.766666667,13.02,0.64,312.4,108.2666667,300,12.4,400.236,133.4906667,400,0.236,1.45
SnSe,2,"[['Sn', 1], ['Se', 1]]",84,42,50,34,197.67,98.835,118.71,78.96,248,124,145,103,259,129.5,139,120,1.19,0.595,0.69,0.5,10,5,6,4,18,9,10,8,36,18,20,16,30,15,20,10,10,5,6,4,1649.5,824.75,940.9,708.6,78,39,52,26,995.12,497.56,505.12,490,3854,1927,2896,958,11.76,5.88,7.28,4.48,538,269,321,217,12.6,6.3,7.2,5.4,319.13,159.565,293.13,26,67.52,33.76,67,0.52,0.95
PbSe0.95S0.05,3,"[['Pb', 1], ['Se', '0.95'], ['S', '0.05']]",132,57.55,82,16,318.226,141.90765,207.2,32.066,344,128.1,154,87,371,132.625,146,105,2.06,0.84175,1.19,0.37,16,5,6,4,26,9.95,12,6,52,20.85,26,10,40,19.75,30,0,16,5,6,4,2655.98,829.667,999.58,715.5,95.6,37.84,50,19.6,1479.01,542.784,600.65,388.36,3699.824,1484.9956,2024,717.824,17.777,7.846925,11.34,1.957,1153,233.6,705,127,11.9,4.99325,5.4,1.73,212.52,100.955,176.72,9.8,35.725,17.752125,35,0.205,0.26
CsI,2,"[['Cs', 1], ['I', 1]]",108,54,55,53,259.8099,129.90495,132.90543,126.90447,413,206.5,298,115,383,191.5,244,139,3.87,1.935,2.2,1.67,8,4,7,1,21,10.5,11,10,47,23.5,24,23,40,20,20,20,8,4,7,1,1244.9,622.45,869.2,375.7,434,217,399,35,1024.8,512.4,722.8,302,2233.7,1116.85,1282,951.7,8.1185,4.05925,6.24,1.8785,671,335.5,429,242,9.92,4.96,7.83,2.09,84.9,42.45,64,20.9,36.449,18.2245,36,0.449,6.37
K3Ti2P5S18,4,"[['K', '3'], ['Ti', '2'], ['P', '5'], ['S', '18']]",72,16.57142857,22,15,150.018062,33.75398964,47.88,30.973762,604,112.0357143,243,87,575,119.7857143,203,105,2.735,0.496785714,1.38,0.37,16,5.142857143,6,1,27,6.25,8,6,43,10.17857143,12,9,2,0.142857143,2,0,14,5,6,1,3088.08,915.1192857,1011.7,418.8,432.2,55.02857143,289,19.6,2985.51,481.1939286,1943,317.25,5871.674,925.9529286,3562,553.15,9.162,1.999642857,4.507,0.87,2751,708.7857143,769,520,23.37,2.808571429,18.7,0.64,524.1,47.11071429,425,9.8,122.441,12.45964286,100,0.205,1.61
Ba3FeS4Br,4,"[['Ba', '3'], ['Fe', 1], ['S', '4'], ['Br', 1]]",133,32.55555556,56,16,305.144,75.11066667,137.327,32.066,590,150.7777778,253,87,572,146.3333333,215,105,4.325,0.903888889,1.96,0.37,16,4.222222222,6,2,34,8.444444444,12,6,63,15.66666667,24,10,36,8.444444444,20,0,17,4.333333333,7,2,3401.68,822.9133333,1139.9,502.9,360.5,104.8111111,262,19.6,3462.56,736.0266667,1810,265.9,6317.434,1412.811778,3145.5,331.91,16.5098,3.284533333,7.86,1.957,2306,536.7777778,947,205,29.33,5.613333333,13.8,1.73,511.79,91.24333333,347,9.8,97.325,14.88222222,79,0.12,1.65
CdP4,2,"[['Cd', 1], ['P', '4']]",63,21.6,48,15,143.384762,47.2612096,112.411,30.973762,259,110.6,161,98,251,114.4,144,107,1.35,0.498,0.97,0.38,7,4.4,5,2,16,6.8,10,6,27,10.8,18,9,20,4,20,0,7,4.4,5,2,1879.4,982.9,1011.7,867.7,70.6,28.88,46,24.6,911.51,372.652,594.26,317.25,1593.15,650.52,1040,553.15,10.37,3.1708,8.542,1.828,999,661.2,769,230,6.75,1.734,6.11,0.64,112.48,29.936,100.08,12.4,96.236,19.3888,96,0.236,1.15
PrIn3S6,3,"[['Pr', 1], ['In', '3'], ['S', '6']]",124,30.2,59,16,287.79165,67.775765,140.90765,32.066,490,123.7,247,87,450,125.9,203,105,2.183,0.5633,1.013,0.37,13,4.9,6,3,28,7.8,12,6,53,14.1,24,10,40,8,20,0,11,4.7,6,2,2080.88,819.538,999.58,523,274.6,50.26,190,19.6,2010.14,481.15,1192,388.36,6463.824,1473.8944,3403,717.824,16.019,4.0364,7.28,1.957,1131,512.2,705,193,11.9,2.709,6.9,1.73,565.49,106.423,330.82,9.8,95.205,26.023,82,0.205,1.14
SiAs2,2,"[['Si', 1], ['As', '2']]",47,26.66666667,33,14,103.00709,59.30956,74.92159,28.0855,225,113,114,111,230,116.3333333,119,111,0.98,0.52,0.58,0.4,9,4.666666667,5,4,14,7.333333333,8,6,23,12.66666667,15,8,10,6.666666667,10,0,9,4.666666667,5,4,1733.4,893.4666667,947,786.4,66,31.66666667,37,29,1685,561.6666667,1685,0,3838,1574.333333,2953,885,8.05,4.59,5.72,2.33,1038,455.3333333,710,328,77.92,35.21333333,50.2,27.72,391.45,141.3,359,32.45,200,83.33333333,150,50,0.88
ZnIn2Te4,3,"[['Zn', 1], ['In', '2'], ['Te', '4']]",131,48,52,30,307.808,115.0608571,127.6,65.39,421,135.1428571,156,123,402,136.8571429,142,122,2.51,0.888571429,0.97,0.74,11,4.571428571,6,2,28,9.714285714,10,8,53,19.71428571,22,12,50,18.57142857,20,10,11,4.571428571,6,2,2473.1,865.2285714,1008.4,558.3,141,45.28571429,65,37,1509.38,442.7942857,692.8,386.8,3984.39,1099.937143,2343,457.39,19.04,5.757142857,7.28,4.66,822,236.8571429,388,201,28.14,11.98714286,17.5,3.27,391.87,108.6771429,224.87,48,205,42.28571429,120,3,1.8
Eu3Sb4Se9,3,"[['Eu', '3'], ['Sb', '4'], ['Se', '9']]",148,43.6875,63,34,352.682,103.3476875,151.965,78.96,467,134.5,231,103,457,139.375,198,120,2.207,0.6488125,0.947,0.5,14,5.1875,6,3,30,9.25,12,8,61,18.75,24,16,50,14.375,20,10,13,5,6,2,2321.6,840.24375,940.9,547,258,60.9375,187,26,2492.89,707.66,1099,490,4584,1338.3125,1913,958,16.423,5.1770625,6.684,4.48,710,266.4375,321,182,34.55,9.74375,19.85,5.4,268.88,64.3525,175.88,26,38.52,8.9175,24,0.52,1.08
MgGeN2,3,"[['Mg', 1], ['Ge', 1], ['N', '2']]",51,14.5,32,7,110.92174,31.23212,72.61,14.00674,326,95.5,145,56,332,100.75,141,71,1.38,0.3775,0.72,0.13,9,3,4,2,18,5.5,8,4,23,6.5,14,3,10,2.5,10,0,11,4,5,2,2902.1,1076.1,1402.3,737.7,119.4,31.7,71,7.4,2199.18,565.59,1213,63.18,4580.5,1164.4625,3125,77.35,7.0621165,1.76580825,5.323,0.0011165,2381,855.25,1040,321,41.15,10.3775,31.83,0.36,464.79,116.895,334,2.79,220.02583,55.012915,160,0.02583,4.2
Ca4Bi6O13,3,"[['Ca', '4'], ['Bi', '6'], ['O', '13']]",111,29.65217391,83,8,265.05777,70.52984435,208.98037,15.9994,385,98.17391304,194,48,390,106.5217391,176,66,3.42,1.232173913,1.4,0.99,9,2.782608696,5,2,24,6.782608696,12,4,43,11.39130435,27,4,30,7.826086957,30,0,13,5.043478261,6,2,2607,1028.682609,1313.9,589.8,216,44.26086957,160,6,1721.95,368.0965217,1123,54.36,3699.338,839.6975652,1852,90.188,11.351331,2.826839261,9.8,0.001331,1672,661,919,122,19.65,4.450434783,10.89,0.22,317.26,70.42304348,160,3.41,208.02658,36.8845887,200,0.02658,2.76
PrCuOS,4,"[['Pr', 1], ['Cu', 1], ['O', 1], ['S', 1]]",112,28,59,8,252.51905,63.1297625,140.90765,15.9994,527,131.75,247,48,506,126.5,203,66,3.513,0.87825,1.4,0.37,14,3.5,6,2,29,7.25,12,4,50,12.5,24,4,30,7.5,20,0,15,3.75,6,1,3581.88,895.47,1313.9,523,268.6,67.15,190,6,2992.42,748.105,1357.7,54.36,7066.012,1766.503,3403,90.188,17.660331,4.41508275,8.92,0.001331,2201,550.25,919,193,21.87,5.4675,13.02,0.22,644.03,161.0075,330.82,3.41,413.23158,103.307895,400,0.02658,3.03
Cu0.05Ga1.95S2.95,3,"[['Cu', '0.05'], ['Ga', '1.95'], ['S', '2.95']]",76,22.04040404,31,16,165.335,47.21855556,69.723,32.066,368,106.8888889,145,87,359,111.969697,132,105,1.72,0.472121212,0.73,0.37,11,4.777777778,6,2,21,6.797979798,8,6,35,11.2020202,13,10,20,4.04040404,10,0,10,4.767676768,6,1,2323.78,831.2507071,999.58,578.8,126.6,33.48888889,54,19.6,2048.99,364.4970707,1357.7,302.93,5825.824,1344.177939,2855,717.824,16.78,3.581818182,8.92,1.957,1460,570.1818182,705,371,20.36,3.372525253,13.02,1.73,565.8,109.7191919,300,9.8,429.205,15.58681818,400,0.205,2.64
H6PtI6O20,4,"[['H', '6'], ['Pt', 1], ['I', '6'], ['O', '20']]",140,17.03030303,78,1,338.99181,38.86492303,195.08,1.00794,393,65,177,48,372,75.03030303,139,31,4.237,1.269606061,2.2,0.012,16,2.848484848,7,1,26,4.757575758,11,1,51,7.333333333,24,0,49,4.515151515,29,0,15,5.121212121,7,1,4365.1,1219.248485,1313.9,869.2,89.5,12.15151515,44,4.5,2836.12,228.8715152,2045,13.96,5489.578,415.6090909,4097,20.39,27.69142087,1.785368461,21.45,8.99E-05,15781,3239,14300,133,28.288,2.254787879,19.68,0.22,514.76,20.7969697,490,0.45,71.65608,2.282078788,71,0.02658,2.12
TlBr,2,"[['Tl', 1], ['Br', 1]]",116,58,81,35,284.2873,142.14365,204.3833,79.904,250,125,156,94,265,132.5,145,120,3.46,1.73,1.96,1.5,8,4,5,3,20,10,12,8,42,21,25,17,40,20,30,10,10,5,7,3,1729.2,864.6,1139.9,589.3,67.9,33.95,46,21.9,842.2,421.1,576.3,265.9,2091.91,1045.955,1760,331.91,14.9028,7.4514,11.8,3.1028,1076,538,947,129,10.07,5.035,5.8,4.27,177.47,88.735,162.48,14.99,46.12,23.06,46,0.12,3.3
Hg0.77Cd0.23Te,3,"[['Hg', '0.77'], ['Cd', '0.23'], ['Te', 1]]",180,62.32,80,48,440.601,153.954415,200.59,112.411,455,145.85,171,123,414,136.38,144,132,2.96,0.98925,1.02,0.97,10,4,6,2,32,10.77,12,10,64,22.31,24,18,70,23.85,30,20,10,4,6,2,2883.1,991.6805,1008.4,867.7,117,36.88,46,34,1215.35,351.94155,594.26,234.29,2127.2,590.77185,1040,457.39,26.747,8.527155,13.545,4.66,570,180.465,230,139,25.96,10.3574,17.5,2.35,207.28,58.3012,100.08,48,107.3,15.7355,96,3,0.12
PbTe,2,"[['Pb', 1], ['Te', 1]]",134,67,82,52,334.8,167.4,207.2,127.6,277,138.5,154,123,284,142,146,138,2.16,1.08,1.19,0.97,10,5,6,4,22,11,12,10,48,24,26,22,50,25,30,20,10,5,6,4,1723.9,861.95,1008.4,715.5,87,43.5,50,37,987.45,493.725,600.65,386.8,2481.39,1240.695,2024,457.39,16,8,11.34,4.66,328,164,201,127,22.27,11.135,17.5,4.77,224.72,112.36,176.72,48,38,19,35,3,0.3
Cu2WSe4,3,"[['Cu', '2'], ['W', 1], ['Se', '4']]",137,38.28571429,74,29,326.346,89.53885714,183.84,63.546,441,127.8571429,193,103,414,129.4285714,162,120,1.85,0.582857143,0.73,0.5,14,4.857142857,6,2,27,8.285714286,12,7,52,16,24,12,44,12,24,10,9,4,6,1,2456.3,860.6285714,940.9,745.4,154,40.71428571,75,26,5527.7,1193.628571,3680,490,9749,2211.142857,5936,958,32.75,7.872857143,19.35,4.48,837,312,384,132,53.42,11.80571429,35,5.4,1126,214.8571429,800,26,570.52,138.8685714,400,0.52,1.65
SnTe,2,"[['Sn', 1], ['Te', 1]]",102,51,52,50,246.31,123.155,127.6,118.71,268,134,145,123,277,138.5,139,138,1.66,0.83,0.97,0.69,10,5,6,4,20,10,10,10,42,21,22,20,40,20,20,20,10,5,6,4,1717,858.5,1008.4,708.6,89,44.5,52,37,891.92,445.96,505.12,386.8,3353.39,1676.695,2896,457.39,11.94,5.97,7.28,4.66,418,209,217,201,24.7,12.35,17.5,7.2,341.13,170.565,293.13,48,70,35,67,3,0.3
Li2In2SiSe6,4,"[['Li', '2'], ['In', '2'], ['Si', 1], ['Se', '6']]",100,29.27272727,49,3,228.8045,67.76031818,114.818,6.941,537,125,167,103,501,124.6363636,142,111,2.46,0.592727273,0.8,0.4,14,4.363636364,6,1,27,7.272727273,10,3,43,12.90909091,19,0,30,9.090909091,20,0,14,4.363636364,6,1,2805.8,780.8,940.9,520.2,292,59.18181818,164,26,3058.47,581.0854545,1685,429.78,7873.16,1511.392727,2953,958,14.624,4.076181818,7.28,0.534,4834,931.0909091,3570,233,61.87,8.649090909,50.2,3,756.87,114.4309091,359,26,317.52,44.28363636,150,0.52,2.54
In0.3P0.3Ga0.7As0.7,4,"[['In', '0.3'], ['P', '0.3'], ['Ga', '0.7'], ['As', '0.7']]",128,32,49,15,290.436352,72.4943708,114.818,30.973762,504,125.6,156,98,490,121.7,142,107,2.38,0.597,0.8,0.38,16,4,5,3,32,8,10,6,56,14,19,9,40,10,20,0,16,4,5,3,3095.8,769.53,1011.7,558.3,172.6,42.49,65,24.6,1049.96,218.08,429.78,0,6034.15,1532.7225,2343,553.15,20.731,5.43425,7.28,1.828,1701,394.95,769,233,37.24,12.252,27.72,0.64,525.72,136.548,256,12.4,161.236,39.9854,82,0.236,1.67
GaAs0.2P0.8,3,"[['Ga', 1], ['As', '0.2'], ['P', '0.8']]",79,24.8,33,15,175.618352,54.7431638,74.92159,30.973762,348,118.6,136,98,348,115.7,122,107,1.58,0.52,0.62,0.38,13,4,5,3,22,7.2,8,6,37,11.6,15,9,20,6,10,0,13,4,5,3,2537.5,788.78,1011.7,578.8,107.6,39.74,54,24.6,620.18,278.365,317.25,0,3691.15,1436.26,2253,553.15,13.451,4.2547,5.903,1.828,1468,525.9,769,328,33.97,5.833,27.72,0.64,300.85,136.205,256,12.4,79.236,19.5944,50,0.236,2.2
RbCd4In5Se12,4,"[['Rb', 1], ['Cd', '4'], ['In', '5'], ['Se', '12']]",168,40.09090909,49,34,391.6568,93.48735455,114.818,78.96,685,132.9545455,265,103,626,133.9090909,220,120,3.79,0.7,1.52,0.5,12,4.363636364,6,1,37,8.863636364,10,8,71,17.13636364,19,16,60,14.09090909,20,10,12,4.363636364,6,1,2769.9,816.1863636,940.9,403,455,51.77272727,318,26,1826.04,487.1790909,594.26,312,5308,1288.090909,2343,958,21.832,5.720818182,8.542,1.53,1148,286.4090909,364,230,16.97,4.899090909,6.11,2.19,421.95,86.71227273,224.87,26,236.52,39.01090909,96,0.52,1.57
Sm3Te4,2,"[['Sm', '3'], ['Te', '4']]",114,56.28571429,62,52,277.96,137.3542857,150.36,127.6,361,172.2857143,238,123,336,163.7142857,198,138,1.934,0.967428571,0.97,0.964,9,4.714285714,6,3,22,10.85714286,12,10,46,22.85714286,24,22,40,20,20,20,8,4.285714286,6,2,1551.4,808.9428571,1008.4,543,231,104.2857143,194,37,1732.1,797.5857143,1345.3,386.8,2533.39,1151.08,2076,457.39,12.196,5.892571429,7.536,4.66,397,198.8571429,201,196,26,13.64285714,17.5,8.5,223,102.4285714,175,48,16,7.285714286,13,3,0.51
YbSb4Te7,3,"[['Yb', 1], ['Sb', '4'], ['Te', '7']]",173,53.16666667,70,51,422.397,129.439,173.04,121.757,478,134.5833333,222,123,464,142.4166667,187,138,2.588,0.890666667,0.97,0.76,14,5.416666667,6,3,32,10.16666667,12,10,67,21.83333333,24,21,60,20,20,20,13,5.333333333,6,2,2445.1,916.3833333,1008.4,603,224,48.41666667,142,37,2387.69,618.3466667,1097,386.8,4073.39,1046.394167,1913,457.39,18.321,5.52775,6.977,4.66,562,199.0833333,207,154,45.05,17.46666667,19.85,7.7,274.13,63.59416667,159.13,48,66,13,39,3,0.22
CsLiB6O10,4,"[['Cs', 1], ['Li', 1], ['B', '6'], ['O', '10']]",71,9.333333333,55,3,166.65683,20.26146833,132.90543,6.941,600,81.5,298,48,523,85.66666667,244,66,4.06,0.989444444,1.67,0.23,7,2.222222222,3,1,22,4.333333333,11,3,29,3.888888889,24,0,20,1.111111111,20,0,11,4.444444444,6,1,3010.4,1046.583333,1313.9,375.7,589.4,41.41111111,399,6,3260.05,888.8494444,2450,54.36,6592.198,1503.313333,3931.15,90.188,4.873831,0.954767222,2.46,0.001331,5761,1065.666667,3570,242,55.31,17.07166667,50,0.22,721.41,182.6166667,507,3.41,148.02658,15.73698889,85,0.02658,6.89
DyN,2,"[['Dy', 1], ['N', 1]]",73,36.5,66,7,176.50674,88.25337,162.5,14.00674,284,142,228,56,263,131.5,192,71,1.042,0.521,0.912,0.13,6,3,3,3,16,8,12,4,27,13.5,24,3,20,10,20,0,7,3.5,5,2,1974.3,987.15,1402.3,572,172.4,86.2,165,7.4,1836.18,918.09,1773,63.18,2950.35,1475.175,2873,77.35,8.5371165,4.26855825,8.536,0.0011165,1207,603.5,1040,167,11.46,5.73,11.1,0.36,283.36,141.68,280.57,2.79,11.02583,5.512915,11,0.02583,2.1
Li6Mo6Se6O33,4,"[['Li', '6'], ['Mo', '6'], ['Se', '6'], ['O', '33']]",87,14.47058824,42,3,197.8404,31.74561176,95.94,6.941,508,85.17647059,190,48,468,90,154,66,3.31,1.130588235,1.4,0.5,15,2.823529412,6,1,24,4.941176471,9,3,38,6.588235294,18,0,25,2.941176471,15,0,14,4.823529412,6,1,3459.9,1102.641176,1313.9,520.2,282,36.35294118,164,6,3881.05,485.3729412,2883,54.36,7586.348,940.2581176,4919,90.188,15.215331,1.790743588,10.2,0.001331,5061,1081.941176,3570,251,44.62,5.365882353,36,0.22,776.41,93.14764706,600,3.41,224.54658,26.43131647,139,0.02658,3.3
Zn0.85S0.85Ga0.15P0.15,4,"[['Zn', '0.85'], ['S', '0.85'], ['Ga', '0.15'], ['P', '0.15']]",92,23,31,15,198.152762,48.97105715,69.723,30.973762,463,114.875,142,87,456,113.65,122,105,2.11,0.54675,0.74,0.37,16,4,6,2,28,7,8,6,44,11,13,9,20,5,10,0,16,4,6,2,3496.48,929.329,1011.7,578.8,137.2,30.8,54,19.6,1701.34,506.0065,692.8,302.93,4707.974,1018.73645,2253,553.15,16.788,4.42905,7.1,1.828,2233,550.025,769,371,15.35,4.33625,7.37,0.64,397.2,74.87,256,9.8,149.441,53.279825,120,0.205,2.4
